"","Post.Code","relative","absolute"
"259","ML12",0.706,0.225333333333333
"260","ML2",0.446333333333333,0.00666666666666667
"261","ML3",0.787333333333333,0.049
"262","ML4",0.52,0.026
"263","ML5",0.954666666666667,0.176666666666667
"264","ML6",0.98,0.265
"265","ML7",0.319666666666667,0.019
"266","ML8",0.364,0.0183333333333333
"267","ML9",0.491333333333333,0.0163333333333333
"268","PA1",0.112333333333333,0.001
"269","PA10",0.356666666666667,0.0666666666666667
"270","PA11",0.662666666666667,0.184
"271","PA12",0.680666666666667,0.213333333333333
"272","PA13",0.773333333333333,0.254333333333333
"273","PA14",0.923,0.450666666666667
"274","PA15",0.498,0.029
"275","PA16",0.649666666666667,0.0523333333333333
"276","PA17",0.537333333333333,0.136
"277","PA18",0.537,0.104
"278","PA19",0.978666666666667,0.724
"279","PA2",0.663,0.03
"280","PA20",0.404,0.042
"281","PA23",0.482666666666667,0.059
"282","PA28",0.418666666666667,0.0763333333333333
"283","PA29",0.323333333333333,0.058
"284","PA3",0.0276666666666667,0
"285","PA30",0.263333333333333,0.0373333333333333
"286","PA31",0.665666666666667,0.161
"287","PA34",0.139333333333333,0.00466666666666667
"288","PA35",0.442333333333333,0.088
"289","PA37",0.137,0.00866666666666667
"290","PA4",0.108333333333333,0.001
"291","PA5",0.0216666666666667,0.000333333333333333
"292","PA6",0.178,0.00833333333333333
"293","PA66",0.0176666666666667,0.000666666666666667
"294","PA7",0.0746666666666667,0.000666666666666667
"295","PA8",0.0423333333333333,0
"296","PH1",0.524,0.007
"297","PH10",0.306,0.0153333333333333
"298","PH11",0.28,0.0356666666666667
"299","PH12",0.138333333333333,0.00566666666666667
"300","PH13",0.124333333333333,0.00433333333333333
"301","PH14",0.128666666666667,0.00833333333333333
"302","PH15",0.559666666666667,0.163333333333333
"303","PH16",0.218,0.0223333333333333
"304","PH2",0.301,0.00366666666666667
"305","PH21",0.633,0.2
"306","PH22",0.0686666666666667,0.00266666666666667
"307","PH26",0.307,0.0313333333333333
"308","PH3",0.274333333333333,0.0166666666666667
"309","PH32",0.0583333333333333,0.00366666666666667
"310","PH33",0.787666666666667,0.204333333333333
"311","PH34",0.437333333333333,0.129
"312","PH49",0.214666666666667,0.0346666666666667
"313","PH6",0.393333333333333,0.0863333333333333
"314","PH7",0.376333333333333,0.0366666666666667
"315","PH8",0.388666666666667,0.0566666666666667
"316","TD1",0.034,0
"317","TD10",0.671666666666667,0.216
"318","TD11",0.833,0.318
"319","TD12",0.698,0.249666666666667
"320","TD14",0.569,0.135666666666667
"321","TD2",0.657666666666667,0.200666666666667
"322","TD5",0.549666666666667,0.102333333333333
"323","TD6",0.800666666666667,0.235
"324","TD7",0.641333333333333,0.153
"325","TD8",0.978666666666667,0.74
"326","TD9",0.686666666666667,0.0696666666666667
"327","ZE1",0.279,0.0266666666666667
"328","ZE2",0.228666666666667,0.0253333333333333
