"Post.Code","covidest","covidprobinc","SE1est","SE1probinc"
"DG4",-0.0159031327721805,0.291666666666667,-0.014314363385055,0.289333333333333
"DG5",-0.0292125264775627,0.185333333333333,-0.0253695099255127,0.181666666666667
"DG6",-0.0337100555902363,0.129,-0.0299068936529972,0.123666666666667
"DG7",-0.0356302271594645,0.069,-0.0303346990016292,0.0616666666666667
"DG8",-0.0434581662363553,0.078,-0.0382901920487099,0.0743333333333333
"DG9",-0.0214347438530289,0.219,-0.0180506322018765,0.216333333333333
"EH1",-0.0184137801965263,0.241333333333333,-0.0153082636167176,0.246666666666667
"EH10",0.00624506768050888,0.590666666666667,0.00476998622606634,0.584666666666667
"EH11",-0.00193890215120876,0.459,-0.00159476733636572,0.461333333333333
"EH12",-0.00770805318112056,0.371333333333333,-0.00679713943196981,0.368666666666667
"EH13",-0.0202499606371201,0.198333333333333,-0.0170426010821513,0.189666666666667
"EH14",-0.0343245202218904,0.0476666666666667,-0.0290971113120251,0.048
"EH15",-0.0180983434402764,0.212333333333333,-0.0148839978610437,0.213
"EH16",-0.0328712609637695,0.0623333333333333,-0.0271269730286922,0.062
"EH17",-0.0335868397134433,0.0436666666666667,-0.0278324726958859,0.0476666666666667
"EH18",-0.0230789601560999,0.154666666666667,-0.0189475170832092,0.154333333333333
"EH19",-0.0326993302952942,0.0663333333333333,-0.0272060719295701,0.064
"EH2",-0.0128667222622964,0.299,-0.0107708133480262,0.301666666666667
"EH20",-0.0239514958949364,0.147333333333333,-0.0201244520614179,0.146333333333333
"EH21",-0.0202722315544177,0.199,-0.0174359818966008,0.197
"EH22",-0.0328843958915687,0.0346666666666667,-0.0274197418922254,0.0346666666666667
"EH23",-0.0198949151807763,0.213333333333333,-0.0165288579572324,0.213666666666667
"EH24",-0.02140379060436,0.225666666666667,-0.0180957111248994,0.230666666666667
"EH25",-0.0193845455141879,0.215666666666667,-0.0162663243790569,0.218666666666667
"EH26",-0.00322648268653412,0.442666666666667,-0.0024854047517622,0.444333333333333
"EH27",-0.00469603307327054,0.434333333333333,-0.00459951041663935,0.436
"EH28",-0.00538395459409893,0.414666666666667,-0.00499315105105924,0.41
