"Post.Code","2020-03-02","2020-03-09","2020-03-16","2020-03-23","2020-03-30","2020-04-06","2020-04-13","2020-04-20","2020-04-27","2020-05-04","2020-05-11","2020-05-18","2020-05-25","2020-06-01","2020-06-08","2020-06-15","2020-06-22","2020-06-29","2020-07-06","2020-07-13","2020-07-20","2020-07-27"
"G14",0.263029812140279,0.381529370908031,0.317663530600972,0.362240657799902,0.335039300402751,0.366676427862617,0.392183184923398,0.319690516500399,0.349130511507154,0.274375627638946,0.22981378000043,0.209360954180484,0.174711011861771,0.171934706261402,0.195218051422869,0.136005387765361,0.168217835251594,0.178967725060731,0.170703481515685,0.181631172859473,0.126747063105699,0.148081734821146
"G15",0.256960014412741,0.357823937258743,0.369434532123083,0.452528065878236,0.39924540114053,0.394479566089333,0.44839244528795,0.393504656531392,0.311247481694466,0.299677953834894,0.224554857101198,0.262016320404429,0.189462531781041,0.185535926387412,0.196080231765289,0.143923459487831,0.186124965494161,0.15964853611385,0.142663562808984,0.14779321761308,0.114378121803598,0.166799088038353
"G2",0.247973886730944,0.457263562837408,0.344800380237467,0.440198392898885,0.355352445460984,0.326017084447721,0.338654321976851,0.32289061832645,0.303127670501075,0.286217314911375,0.239794353415763,0.257725932701279,0.190912037499984,0.194096359100892,0.194798106330495,0.134751602978544,0.198465507670983,0.180294836279188,0.193807183349254,0.16115160105619,0.119258928490693,0.136552807454021
"G20",0.241954099172198,0.405035086432142,0.324222645949215,0.427033241996977,0.358346508423972,0.343971365853245,0.439542934877686,0.3699433212978,0.325475451460557,0.314639691188666,0.233317666889347,0.261414470838675,0.185488572659674,0.16936293148497,0.180739322999232,0.128941848552423,0.192964793857926,0.166926211614651,0.160881722255401,0.161495282054836,0.133111975467801,0.163317928324273
"G21",0.210237209090923,0.410294942128608,0.313875615890572,0.42481633281584,0.369586155648933,0.352953989542773,0.431480697291425,0.356036936778641,0.317273492445275,0.278555513975993,0.235172858047683,0.300617061976359,0.200824271094635,0.201369932023734,0.186481205710255,0.137307342090801,0.190825551478377,0.17307660374374,0.158649715270941,0.192029057383594,0.1150058623486,0.16722867477273
"G22",0.227873865355114,0.351803702617778,0.292005632930742,0.415312808707594,0.383819315242394,0.354112863216454,0.385640555275931,0.298072836105779,0.298754661302452,0.261614639800091,0.201054233006824,0.211461512848636,0.178067006491813,0.186566805457681,0.187146845241713,0.128842920801221,0.187226006406049,0.139768242579358,0.144362650616631,0.117174651933555,0.0913036189495167,0.130394806757022
"G23",0.237704981201021,0.401981417675454,0.312459434936973,0.38423372661643,0.361737072808128,0.304230558424699,0.351181751818494,0.303174518013744,0.300220176274618,0.323199700300557,0.243784467011052,0.299047006932214,0.204000536874022,0.213396355343386,0.213390548907892,0.14586269124014,0.206239194984662,0.186193366396929,0.165950259931582,0.160186599760505,0.115009860288872,0.14489217772189
"G3",0.236629649885839,0.384266731361831,0.314171209431796,0.398187919252982,0.338997599784959,0.339332016747575,0.359085153630281,0.329096827561236,0.304202753905054,0.25850587844303,0.20764270254851,0.2081164490822,0.160677860719407,0.170743087103695,0.201293507334246,0.136640313452525,0.207109087907358,0.16841387496835,0.172267732033651,0.168099840957405,0.126215859650946,0.142175408290831
"G31",0.250909377554792,0.405073620468988,0.372354891254303,0.464373130677798,0.436242690631228,0.393585056104336,0.439328698847479,0.346562203561275,0.324563188076769,0.288916427136745,0.277449915118891,0.281819326389098,0.197627443466448,0.194155985444665,0.210188155089127,0.174876278713488,0.197040151006129,0.168986750991344,0.160347016003095,0.16841622480177,0.131061526165444,0.171876767817633
"G32",0.226481341477202,0.42087726017868,0.348795850533597,0.460488910037689,0.430246210190295,0.372270550821041,0.408264335416194,0.332519183577339,0.32856596135955,0.267858708032932,0.263328996525076,0.275224133134202,0.172664826597069,0.201023263322377,0.197280283611782,0.169307893925251,0.196975485611613,0.14406306864581,0.136564449543407,0.183697577473296,0.147826638648243,0.172730338958957
"G33",0.206423517987824,0.381143753474585,0.353423173590979,0.459702823101077,0.420980223749997,0.370978209612753,0.448693629876569,0.405144464311476,0.41229559239021,0.281510958968772,0.317174965607375,0.261167724469872,0.191627954413773,0.182123128142154,0.196079866032332,0.174331514646651,0.212776829937086,0.154931761440808,0.16201252599262,0.190518359824198,0.134292970654847,0.180262444863817
"G34",0.177542295105014,0.4130811451068,0.322948842942867,0.425836989411381,0.369651133057363,0.310587834252471,0.442279092310256,0.406608935545657,0.354530888644793,0.297495523254891,0.249557864670546,0.243750579563898,0.16928162222609,0.175723131622831,0.177136842118806,0.143808245180612,0.164710612384833,0.135032352432147,0.12284278905016,0.145133719617856,0.113050791019962,0.13728411997228
"G4",0.229263092708908,0.425601170388178,0.345349057286167,0.422915327587992,0.366082880420414,0.341998168612849,0.36097860467951,0.320207775107574,0.280746787070107,0.256032999591363,0.203795422655786,0.227802434234468,0.164858124484695,0.175060584413901,0.178693458522663,0.132346204959445,0.187453728436185,0.172440369407236,0.166322827769352,0.156196377058544,0.118562150405142,0.140364877779651
"G40",0.23208086559115,0.43802450865739,0.320989715725518,0.421889369724702,0.335465193545522,0.340155423751052,0.363898507013481,0.333104112849606,0.318283254902886,0.274514360162124,0.254927849813865,0.280573499898096,0.179830918875553,0.195393091453776,0.16769074942139,0.127671145783939,0.167117035698391,0.1520947027814,0.152873601242684,0.142661887870704,0.121578708761866,0.133611850589657
"G41",0.225102235363832,0.414737820484167,0.337903151827015,0.437740487513122,0.35692254725148,0.341003342538343,0.314786644428941,0.311056604644438,0.311496927797667,0.277072136499918,0.252545333679855,0.227080329831601,0.189321770519163,0.190978574762022,0.190698848304537,0.129525131862903,0.178582235737786,0.179301704345131,0.155646437928502,0.166689198080857,0.165410081822843,0.172790944869934
"G42",0.232991042202556,0.37580888135755,0.342672139254367,0.412638548852102,0.378589864619549,0.317260323079818,0.320085823988045,0.305968460746561,0.290098454674595,0.231123673025376,0.189776812442482,0.239855184540874,0.183177647312028,0.198072071890753,0.164763439959505,0.11783880884462,0.144516981062483,0.14580214971015,0.165421558077521,0.139409958235155,0.122984299687072,0.123624860138746
"G43",0.257373417947329,0.43749960618609,0.339746715392955,0.481869649245104,0.38593857819193,0.323093396412554,0.336556126293275,0.360237164933885,0.304205472554207,0.29368004159268,0.225865607475719,0.270114727733238,0.199680896082853,0.198839797812485,0.172286068235973,0.149561094636604,0.178021365521689,0.189335811005481,0.163856450766326,0.205523160926073,0.177503621662948,0.190736577799387
"G44",0.235644962016479,0.397458823717491,0.362862161509475,0.422877939033366,0.38133669693004,0.288801192238622,0.354227792022598,0.353049561242816,0.343892501536578,0.308081224004941,0.215942736024469,0.240612244984701,0.152079338961462,0.180268869904698,0.164600108099302,0.137771042736404,0.160259429486035,0.163465205486738,0.149228520307911,0.154277409743719,0.151947338994458,0.154976380408041
"G45",0.215549417744525,0.331056740196454,0.294147643312106,0.397469408728669,0.345151256502351,0.311506568512948,0.403410106338006,0.32911748308818,0.331850321377829,0.27683334279797,0.24357112854885,0.255636859140657,0.198660931724617,0.198322781519039,0.191159752980409,0.149347865463818,0.190964542233999,0.202383727724764,0.140677662123782,0.166255472215044,0.140639960311891,0.176124604076956
"G46",0.24611446610721,0.384987478392768,0.337981590287989,0.430556717238602,0.347918651987859,0.262948672210913,0.303619031706222,0.278144924293209,0.251663652819262,0.247956691575101,0.241050050658085,0.203273676500933,0.163401440841177,0.175547426000948,0.159149612531978,0.13137992001631,0.158570641017431,0.19175595311039,0.140831007067351,0.16187436915107,0.147332432843177,0.140704939202293
"G5",0.2381281239299,0.416283173255776,0.352675861987395,0.418945015452237,0.36392659911674,0.359134252965141,0.382673142744513,0.325230250972942,0.322129736702004,0.281083504874669,0.222905363163346,0.238287895139353,0.172296220703752,0.17511972904135,0.192222647152664,0.138305535449761,0.195217496301495,0.173800902905409,0.192655541151135,0.186633997829416,0.157404325146714,0.174425777984265
"G51",0.232315734652772,0.433427392496134,0.346249662266674,0.385458309182196,0.388225707380022,0.385239481939711,0.382162757611727,0.357196147483692,0.30220741340641,0.311900551880286,0.275557939183126,0.259466110162763,0.204513385576601,0.178527430937743,0.207057845646338,0.122192481179299,0.141995502107991,0.164068701231887,0.14091441656084,0.159270985929742,0.126850188005625,0.149618303621411
"G52",0.217541077791449,0.407958038705565,0.3636182440178,0.348145180355091,0.410926551722927,0.362980972356101,0.407083717473478,0.396341359692229,0.359110027417934,0.28839573067241,0.267898409103274,0.23779495180916,0.178219517472288,0.175867828263241,0.185415979046394,0.13076582582046,0.169676705261531,0.158389739223915,0.127890310260693,0.170302221871712,0.14928136650937,0.14507995294961
"G53",0.205620339116031,0.416519204458668,0.362066335515138,0.406645095907482,0.390467503903046,0.340601946746095,0.345611101833472,0.384618840707804,0.35366488341865,0.256610189317249,0.262824883398416,0.238335920237912,0.179634648744383,0.190829202482485,0.17455858121239,0.129523164195375,0.155346240436013,0.16063606461822,0.125503517799475,0.128502232170242,0.138027252376311,0.146424276223097
"G60",0.252143755822429,0.35753893471768,0.332479786273868,0.439204302182806,0.383931817967781,0.307637898642299,0.37906767145089,0.339940628337315,0.347377146990442,0.283561782727014,0.277333761655895,0.258653461674642,0.207508352984421,0.215096960369539,0.21212622381365,0.157874621183797,0.197132924867065,0.220727128299142,0.15753770178262,0.190415023947373,0.13642617252323,0.182706181973555
"G61",0.247660013865132,0.378145393414602,0.357931108365395,0.503384913227885,0.399703352947624,0.411147100077282,0.397966698751497,0.370912213060422,0.356167968434958,0.35626670008195,0.267906010486958,0.271640710458018,0.173074905569231,0.16622168090472,0.188933078936932,0.125192884980076,0.182497994687851,0.158270310752167,0.177634442163856,0.1465451732929,0.123549164086993,0.15753772587481
"G62",0.20190292574314,0.341234512071513,0.341845918426923,0.355077078829958,0.371496882188186,0.31291374978156,0.35686447014283,0.285971028549929,0.282406759436284,0.300655771389309,0.286142325243673,0.283319107838789,0.195147295176273,0.177566848021377,0.180800350490873,0.142218545823488,0.188365274825167,0.172898790466516,0.164439965516533,0.170777481144693,0.124257332909705,0.153722897287401
"G63",0.229092148929737,0.431728199949578,0.328415084849951,0.392023703202307,0.359855160019137,0.31838282169819,0.375975974288517,0.305008879072828,0.298003197912203,0.271046423189846,0.230117409931527,0.222221042148469,0.190876018623827,0.177172329238788,0.185206369801723,0.11387885557093,0.140304156623697,0.139700185385308,0.105522315044287,0.120155215343418,0.0975118403767836,0.116959642323321
"G64",0.263902407678057,0.442662826869509,0.400438279717827,0.437920466660878,0.460118840867947,0.341151685509721,0.445901977616941,0.325212074523183,0.299929309358938,0.256280556909974,0.22205478870095,0.221896922483512,0.17677273523926,0.181868046385969,0.187070218150439,0.130513432982266,0.213596257140993,0.160298228921452,0.181696790095981,0.14925307579618,0.142095323494761,0.148062512322555
"G65",0.161308676624367,0.347434606223097,0.316140619949615,0.370740344101709,0.371307163728624,0.42247084353603,0.421302582798334,0.40833333785881,0.37731613583446,0.36368346774119,0.317874355060685,0.34572326673911,0.274748354123952,0.22616382396734,0.244627283258036,0.182233005370295,0.263669485011571,0.227037424457977,0.218911065772887,0.219332238780618,0.191248998380595,0.207940689074747
"G66",0.20041318224557,0.375953662464756,0.329758056252625,0.43241523544446,0.378429049597041,0.379526471902849,0.452820618934959,0.331973412110168,0.366077113799023,0.330744970761219,0.310807812742241,0.325310168096738,0.215467792058571,0.208746606504679,0.254554867023627,0.149948328280914,0.210397419552588,0.173679502354145,0.171069769285983,0.170962713051166,0.128385782675693,0.166950705239951
"G67",0.232886892686316,0.387227817475425,0.374947076243552,0.428813139703694,0.413328838833571,0.381171206428133,0.448494070925899,0.425129725738778,0.380288588997877,0.378413873216257,0.341110318036998,0.317453039988018,0.243034861810217,0.193800618356346,0.200430502867477,0.156926230141606,0.233614745873559,0.179035877029826,0.204759885620391,0.188945552895593,0.146212419335675,0.192294037933921
"G68",0.238464894016171,0.357300467945324,0.373553564265187,0.472338495711275,0.413498366926866,0.349224427810408,0.414063983699374,0.366872375324798,0.321238895377183,0.297916133923257,0.268098292146144,0.285121992724501,0.238130465853152,0.210965194717987,0.209116007359775,0.16420009546374,0.209637020175762,0.2092172370577,0.200882964519435,0.188651229409558,0.172334952498718,0.163460578417279
"G69",0.23932672290683,0.392334492014802,0.384350118986394,0.474244260346147,0.407020067555496,0.40883442808938,0.429893140021157,0.405744555517301,0.389750107984266,0.303313155417961,0.298884088974484,0.261061161073404,0.220706070991602,0.198639056664818,0.206967297914194,0.166671329135062,0.190667527047951,0.170047508177476,0.147975204382914,0.170560020900824,0.169791652820845,0.198286400204261
"G71",0.223505416790017,0.431439126348117,0.416107530456651,0.476099673990675,0.446376609563871,0.432004298933566,0.433625938078935,0.398550624591629,0.350296382297489,0.302945268857615,0.28316124283979,0.294302574148479,0.192369873682198,0.199741628059873,0.187405791870866,0.179539819389398,0.176719730448309,0.153230564471222,0.139126893218191,0.159046964079821,0.162624381610811,0.171793263463332
"G72",0.21904628192305,0.354656688353027,0.316420852743678,0.393494983036933,0.370884163342778,0.334860136938827,0.357338637911679,0.336122964864094,0.333289595079617,0.289854589483309,0.270115274948688,0.243863469265539,0.199222093888641,0.195587957123208,0.18179677938536,0.150072015424701,0.190553199130603,0.181439118297147,0.170015633135393,0.185741500387177,0.16351854206852,0.182639278132996
"G73",0.220621515632129,0.376450487867808,0.329751972418183,0.431611923544296,0.341110183339166,0.327608971689804,0.40368935432638,0.362888979406868,0.327144348133984,0.325133185737323,0.241800360934788,0.27140107857991,0.200416473161006,0.182573586913443,0.175276742175144,0.144625155975544,0.189497520881127,0.165672963209911,0.152440237088384,0.140901029508907,0.127730151815336,0.142876715287831
"G74",0.217189980409876,0.411787556909221,0.331290848115966,0.427554068500498,0.387348868313626,0.35226313173299,0.450315899796923,0.411281659615855,0.382362150029603,0.339205066281168,0.281214551014196,0.366558516883324,0.258322895414189,0.214675739302489,0.248263629868474,0.161649969991907,0.205773883528772,0.193935516814746,0.154328475013641,0.179996440803193,0.176524037738027,0.172553764153765
"G75",0.216653703432895,0.412201758875559,0.326345417094221,0.418421510669382,0.349741911873074,0.38272122946071,0.430928396559707,0.385988983903123,0.353576089311209,0.292513687813166,0.283350195492076,0.28040419136123,0.23435585870597,0.21964162483249,0.222944441491864,0.166441160619138,0.221223818113127,0.229790795632064,0.21151861430285,0.225739468021168,0.198541793300131,0.235672964642417
"G76",0.229703388992233,0.468163356155278,0.433879710599526,0.470790095805499,0.369061667862077,0.363488499443681,0.368250236187633,0.366355445198822,0.330335951163775,0.296580922614649,0.303110062171564,0.257745616357596,0.203958803193899,0.252795018349116,0.247448476276775,0.181333987136918,0.206707337599884,0.223358682695141,0.147988192137897,0.187239886669359,0.156444879066362,0.159127171647903
"G77",0.223608604175174,0.406225234359243,0.402237723005409,0.459945690966332,0.385431883121316,0.361318853959385,0.374642202167534,0.348594080491592,0.332869505500589,0.320163646735957,0.290536738812288,0.273522368100624,0.177289801760476,0.193102650161864,0.182377119194141,0.163729189436683,0.196986052652858,0.182722865132881,0.159714166876175,0.182104481734765,0.16814551142656,0.161164683013454
